Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2,0,1352.42,16229.04,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (3000 GB), Instance type (t3.large)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,1458.6399999999999,17503.68,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,S3 Standard,0,1150,13800.00,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (Ohio),,Amazon EC2,0,581.04,6972.48,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (1000 GB), Instance type (m4.large)"
My Estimate,US East (Ohio),,Application Load Balancer,0,1054.85,12658.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,38.25,459.00,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,VPN Connection,0,475,5700.00,USD,"Working days per month (22), Number of subnet associations (4), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (Ohio),,Amazon Route 53,0,125.5,1506.00,USD,"Hosted Zones (1), Basic Checks Within AWS (300)"

Total:,,,,,6235.7,,USD

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

=> RDS ricing strategy, EC2 pricing were changed so reduces number of processed GB per month of Application Load Balancer.